iter	Passed	Remaining
455	843	1006
456	844	1003
457	845	1001
458	847	998
459	849	996
460	851	995
461	853	993
462	854	991
463	856	989
464	857	987
465	859	984
466	860	982
467	863	981
468	864	978
469	866	977
470	867	974
471	869	972
472	871	970
473	872	968
474	874	966
475	875	964
476	878	962
477	879	960
478	882	960
479	884	957
480	886	956
481	888	954
482	889	952
483	891	950
484	892	948
485	894	945
486	897	945
487	899	943
488	901	942
489	903	940
490	904	937
491	905	935
492	907	933
493	908	930
494	910	928
495	912	927
496	914	925
497	915	922
498	916	920
499	918	918
500	919	915
501	921	913
502	922	911
503	923	908
504	925	907
505	927	905
506	929	903
507	930	901
508	932	899
509	933	896
510	934	894
511	936	892
512	937	889
513	939	888
514	941	886
515	944	885
516	945	883
517	947	881
518	948	879
519	950	877
520	952	875
521	953	872
522	955	871
523	956	869
524	958	867
525	960	865
526	961	862
527	962	860
528	963	858
529	965	856
530	966	853
531	968	851
532	970	850
533	971	848
534	973	846
535	974	843
536	976	841
537	977	839
538	978	837
539	980	834
540	981	832
541	982	829
542	984	828
543	986	826
544	988	825
545	989	822
546	990	820
547	992	818
548	993	816
549	994	814
550	996	811
551	997	809
552	999	807
553	1000	805
554	1002	803
555	1004	802
556	1006	800
557	1007	798
558	1008	795
559	1010	793
560	1011	791
561	1013	789
562	1014	787
563	1016	785
564	1018	783
565	1019	781
566	1020	779
567	1022	777
568	1023	775
569	1024	773
570	1025	770
571	1028	769
572	1029	767
573	1031	765
574	1032	763
575	1034	761
576	1035	759
577	1037	757
578	1038	754
579	1039	752
580	1040	750
581	1042	748
582	1044	746
583	1045	744
584	1047	743
585	1048	740
586	1049	738
587	1051	736
588	1052	734
589	1053	732
590	1055	730
591	1057	728
592	1059	726
593	1060	724
594	1062	722
595	1063	720
596	1064	718
597	1065	716
598	1067	714
599	1068	712
600	1069	709
601	1070	707
602	1072	706
603	1073	704
604	1075	701
605	1076	699
606	1077	697
607	1078	695
608	1080	693
609	1081	691
610	1082	689
611	1083	686
612	1084	684
613	1086	682
614	1087	681
615	1089	678
616	1090	676
617	1091	674
618	1092	672
619	1093	670
620	1094	667
621	1095	665
622	1096	663
623	1097	661
624	1098	659
625	1100	657
626	1102	655
627	1103	653
628	1104	651
629	1105	649
630	1106	647
631	1107	645
632	1108	642
633	1110	640
634	1111	638
635	1112	636
636	1113	634
637	1115	632
638	1116	631
639	1118	628
640	1119	626
641	1120	624
642	1121	622
643	1122	620
644	1123	618
645	1124	616
646	1125	614
647	1126	612
648	1128	610
649	1129	608
650	1132	606
651	1133	604
652	1134	603
653	1136	601
654	1137	599
655	1139	597
656	1140	595
657	1141	593
658	1142	591
659	1144	589
660	1145	587
661	1147	585
662	1148	583
663	1150	582
664	1151	580
665	1152	577
666	1153	575
667	1154	573
668	1155	571
669	1156	569
670	1158	567
671	1160	566
672	1161	564
673	1162	562
674	1163	560
675	1164	558
676	1165	556
677	1166	554
678	1167	552
679	1168	550
680	1169	548
681	1170	546
682	1172	544
683	1174	542
684	1175	540
685	1176	538
686	1177	536
687	1179	534
688	1180	532
689	1181	530
690	1182	528
691	1183	526
692	1184	524
693	1185	522
694	1187	521
695	1188	519
696	1190	517
697	1191	515
698	1192	513
699	1193	511
700	1194	509
701	1195	507
702	1196	505
703	1197	503
704	1198	501
705	1199	499
706	1201	497
707	1202	496
708	1204	494
709	1205	492
710	1206	490
711	1207	488
712	1208	486
713	1209	484
714	1210	482
715	1211	480
716	1212	478
717	1214	476
718	1215	474
719	1216	473
720	1218	471
721	1219	469
722	1220	467
723	1221	465
724	1222	463
725	1223	461
726	1224	459
727	1226	458
728	1227	456
729	1228	454
730	1229	452
731	1230	450
732	1232	449
733	1234	447
734	1235	445
735	1236	443
736	1237	441
737	1239	440
738	1240	438
739	1242	436
740	1243	434
741	1244	432
742	1245	430
743	1247	429
744	1248	427
745	1249	425
746	1250	423
747	1252	421
748	1253	420
749	1254	418
750	1255	416
751	1256	414
752	1257	412
753	1259	410
754	1260	409
755	1262	407
756	1263	405
757	1264	403
758	1265	401
759	1266	400
760	1268	398
761	1269	396
762	1270	394
763	1271	392
764	1272	390
765	1273	389
766	1275	387
767	1277	385
768	1278	383
769	1279	382
770	1280	380
771	1281	378
772	1283	376
773	1284	375
774	1285	373
775	1286	371
776	1287	369
777	1289	367
778	1290	366
779	1292	364
780	1293	362
781	1294	360
782	1295	359
783	1296	357
784	1297	355
785	1298	353
786	1300	351
787	1301	350
788	1302	348
789	1303	346
790	1305	344
791	1307	343
792	1308	341
793	1309	339
794	1310	337
795	1311	336
796	1313	334
797	1314	332
798	1315	331
799	1316	329
800	1318	327
801	1319	325
802	1321	324
803	1322	322
804	1324	320
805	1325	319
806	1327	317
807	1328	315
808	1329	313
809	1330	312
810	1332	310
811	1333	308
812	1335	307
813	1336	305
814	1337	303
815	1339	302
816	1340	300
817	1342	298
818	1343	296
819	1345	295
820	1346	293
821	1349	292
822	1350	290
823	1352	288
824	1369	290
825	1370	288
826	1371	286
827	1373	285
828	1374	283
829	1375	281
830	1376	279
831	1377	278
832	1379	276
833	1381	275
834	1383	273
835	1385	271
836	1386	269
837	1387	268
838	1389	266
839	1390	264
840	1391	263
841	1392	261
842	1394	259
843	1396	258
844	1398	256
845	1399	254
846	1401	253
847	1402	251
848	1403	249
849	1404	247
850	1406	246
851	1407	244
852	1410	243
853	1412	241
854	1414	239
855	1415	238
856	1416	236
857	1418	234
858	1419	233
859	1421	231
860	1422	229
861	1424	228
862	1426	226
863	1428	224
864	1429	223
865	1431	221
866	1433	219
867	1434	218
868	1435	216
869	1436	214
870	1438	213
871	1440	211
872	1441	209
873	1443	208
874	1444	206
875	1445	204
876	1446	202
877	1447	201
878	1449	199
879	1450	197
880	1451	196
881	1453	194
882	1455	192
883	1456	191
884	1458	189
885	1459	187
886	1460	186
887	1462	184
888	1463	182
889	1464	180
890	1465	179
891	1468	177
892	1469	176
893	1471	174
894	1472	172
895	1473	171
896	1474	169
897	1475	167
898	1477	165
899	1478	164
900	1479	162
901	1480	160
902	1482	159
903	1484	157
904	1485	155
905	1487	154
906	1488	152
907	1489	150
908	1491	149
909	1492	147
910	1493	145
911	1494	144
912	1496	142
913	1498	140
914	1499	139
915	1501	137
916	1502	135
917	1503	134
918	1504	132
919	1505	130
920	1507	129
921	1508	127
922	1509	125
923	1511	124
924	1513	122
925	1514	121
926	1515	119
927	1516	117
928	1517	115
929	1518	114
930	1519	112
931	1520	110
932	1521	109
933	1523	107
934	1524	105
935	1526	104
936	1527	102
937	1528	101
938	1530	99
939	1531	97
940	1532	96
941	1534	94
942	1535	92
943	1537	91
944	1538	89
945	1540	87
946	1541	86
947	1542	84
948	1544	82
949	1545	81
950	1546	79
951	1547	78
952	1548	76
953	1549	74
954	1551	73
955	1552	71
956	1553	69
957	1554	68
958	1556	66
959	1557	64
960	1558	63
961	1559	61
962	1560	59
963	1561	58
964	1562	56
965	1563	55
966	1564	53
967	1565	51
968	1566	50
969	1568	48
970	1569	46
971	1570	45
972	1571	43
973	1573	41
974	1574	40
975	1575	38
976	1576	37
977	1577	35
978	1578	33
979	1579	32
980	1580	30
981	1581	28
982	1583	27
983	1584	25
984	1585	24
985	1587	22
986	1588	20
987	1589	19
988	1591	17
989	1592	16
990	1593	14
991	1594	12
992	1595	11
993	1596	9
994	1597	8
995	1599	6
996	1600	4
997	1602	3
998	1603	1
999	1604	0
